codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
RBRP11,Outros,"R$ 91,20",25725.0,"R$ 0,52","0,57%","1,69%","3,51%","6,74%","0,56%","0,59%","0,56%","1,10%","-7,53%","-7,00%","-6,50%","R$ 749.270.916,60","R$ 87,61","1,04",N/A,N/A,N/A,N/A,"10,00%","12,00%",15
RELG11,Híbrido,"R$ 98,80",2157.0,"R$ 0,74","0,76%","1,97%","0,00%","0,00%","0,66%","0,00%","0,00%","1,41%","-1,31%","-0,56%","0,08%","R$ 89.731.501,91","R$ 96,35","1,03",N/A,N/A,N/A,N/A,"16,10%","16,10%",3
TORD11,Outros,"R$ 11,85",127154.0,"R$ 0,12","1,06%","3,23%","7,01%","0,00%","1,08%","1,17%","0,00%","2,39%","-5,34%","-4,34%","-3,06%","R$ 140.973.966,68","R$ 10,41","1,14",N/A,N/A,N/A,N/A,N/A,N/A,0
RECR11,Títulos e Val. Mob.,"R$ 106,87",38647.0,"R$ 1,00","0,87%","3,61%","7,45%","11,96%","1,20%","1,24%","1,00%","2,15%","2,59%","3,49%","4,81%","R$ 1.363.792.786,47","R$ 95,80","1,12",N/A,N/A,N/A,N/A,N/A,N/A,0
DEVA11,Títulos e Val. Mob.,"R$ 118,75",21420.0,"R$ 1,28","1,07%","4,57%","0,00%","0,00%","1,52%","0,00%","0,00%","2,42%","-16,83%","-15,94%","-14,80%","R$ 575.390.181,80","R$ 100,52","1,18",N/A,N/A,N/A,N/A,N/A,N/A,0
RECT11,Híbrido,"R$ 87,00",25943.0,"R$ 0,72","0,83%","2,32%","4,56%","9,49%","0,77%","0,76%","0,79%","1,58%","-9,27%","-8,53%","-7,84%","R$ 669.341.458,08","R$ 95,98","0,91",N/A,N/A,N/A,N/A,"15,80%",N/A,8
BTCR11,Títulos e Val. Mob.,"R$ 93,45",9595.0,"R$ 0,60","0,67%","1,93%","3,56%","6,23%","0,64%","0,59%","0,52%","1,31%","0,74%","1,42%","2,07%","R$ 463.812.857,71","R$ 96,42","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
FEXC11,Títulos e Val. Mob.,"R$ 95,14",3836.0,"R$ 0,78","0,83%","2,20%","3,73%","8,46%","0,73%","0,62%","0,71%","1,62%","-0,94%","-0,12%","0,67%","R$ 327.839.727,71","R$ 95,81","0,99",N/A,N/A,N/A,N/A,N/A,N/A,0
FAED11,Outros,"R$ 173,50",993.0,"R$ 1,34","0,70%","2,06%","3,85%","7,51%","0,69%","0,64%","0,63%","1,38%","-2,83%","-2,15%","-1,48%","R$ 137.326.909,71","R$ 213,85","0,81",N/A,N/A,N/A,N/A,"0,00%",N/A,3
CEOC11,Lajes Corporativas,"R$ 71,16",535.0,"R$ 0,46","0,65%","2,02%","3,45%","7,48%","0,67%","0,58%","0,62%","1,29%","-1,96%","-1,32%","-0,69%","R$ 157.496.578,24","R$ 86,74","0,82",N/A,N/A,N/A,N/A,"0,00%",N/A,1
THRA11,Lajes Corporativas,"R$ 135,30",14.0,"R$ 0,28","0,21%","0,96%","2,37%","4,87%","0,32%","0,40%","0,41%","0,53%","1,14%","1,35%","1,67%","R$ 168.051.922,46","R$ 114,11","1,19",N/A,N/A,N/A,N/A,"9,81%",N/A,1
