codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
TRNT11,Lajes Corporativas,169.67,124.0,0.38,0.0023,0.0085,0.0167,0.031,0.0028000000000000004,0.0028000000000000004,0.0026,0.0052,0.07730000000000001,0.0797,0.08289999999999999,816233892.77,207.4,0.82,,,,,0.39399999999999996,,1
HCRI11,Hospital,469.0,73.0,2.98,0.0062,0.0192,0.0381,0.07629999999999999,0.0064,0.0063,0.0064,0.0125,-0.0363,-0.030299999999999997,-0.024300000000000002,60609813.26,303.05,1.55,,,,,0.0,,1
BTLG11,Logística,114.31,50047.0,0.6,0.0053,0.0158,0.0325,0.0604,0.0053,0.0054,0.005,0.0103,-0.0362,-0.0311,-0.0262,1313361872.47,101.15,1.13,,,,,0.0,0.0,12
OURE11,Títulos e Val. Mob.,88.94,376.0,0.64,0.0069,0.0258,0.047400000000000005,0.0863,0.0086,0.0079,0.0072,0.0134,-0.0263,-0.0195,-0.0132,82721023.61,99.44,0.89,,,,,,,0
HMOC11,Shoppings,226.95,115.0,23.0,0.1013,0.11019999999999999,0.12179999999999999,0.1281,0.036699999999999997,0.0203,0.010700000000000001,0.11019999999999999,0.0,0.1013,0.11109999999999999,91223530.5,238.79,0.95,,,,,0.018000000000000002,,1
CNES11,Lajes Corporativas,43.64,213.0,0.1,0.0022,0.0087,0.0207,0.045899999999999996,0.0029,0.0034000000000000002,0.0038,0.0054,-0.1322,-0.1303,-0.1275,270853338.37,91.84,0.48,,,,,0.363,,1
EDGA11,Lajes Corporativas,26.68,4686.0,0.15,0.005600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.1437,-0.1389,-0.1351,299273698.11,78.51,0.34,,,,,0.4561,,1
BRLA11,Híbrido,,,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,80995828.69,99.99,,,,,,,,0
FLRP11,Shoppings,1289.02,29.0,5.65,0.0043,0.0143,0.0218,0.0499,0.0048,0.0036,0.0042,0.0095,-0.0076,-0.0033,0.0018,112267171.45,1721.04,0.75,,,,,0.0124,,1
HMOC11,Shoppings,226.95,115.0,23.0,0.1013,0.11019999999999999,0.12179999999999999,0.1281,0.036699999999999997,0.0203,0.010700000000000001,0.11019999999999999,0.0,0.1013,0.11109999999999999,91223530.5,238.79,0.95,,,,,0.018000000000000002,,1
HMOC11,Shoppings,226.95,115.0,23.0,0.1013,0.11019999999999999,0.12179999999999999,0.1281,0.036699999999999997,0.0203,0.010700000000000001,0.11019999999999999,0.0,0.1013,0.11109999999999999,91223530.5,238.79,0.95,,,,,0.018000000000000002,,1
ALZR11,Logística,129.87,9831.0,0.59,0.0048,0.0116,0.0203,0.0493,0.0039000000000000003,0.0034000000000000002,0.0040999999999999995,0.0085,-0.0496,-0.0451,-0.0415,458898939.12,102.44,1.27,,,,,0.0,,12
XPML11,Shoppings,106.7,41639.0,0.25,0.0024,0.011399999999999999,0.0215,0.0301,0.0038,0.0036,0.0025,0.0055000000000000005,-0.0739,-0.0717,-0.0688,2041182596.54,112.11,0.95,,,,,0.043,,13
FCFL11,Outros,109.99,260.0,0.61,0.0054,0.0151,0.028999999999999998,0.0592,0.005,0.0048,0.0049,0.0104,-0.0063,-0.0009,0.0040999999999999995,352264110.79,101.4,1.08,,,,,0.0,,1
XPIN11,Outros,111.0,17188.0,0.62,0.0055000000000000005,0.016200000000000003,0.0322,0.064,0.0054,0.0054,0.0053,0.0109,-0.0265,-0.021099999999999997,-0.0158,729159768.43,110.7,1.0,,,,,0.073,,5
WTSP11B,Híbrido,49.8,1.0,0.11,0.0021,0.0068000000000000005,0.0146,0.0381,0.0023,0.0024,0.0032,0.0045000000000000005,-0.016399999999999998,-0.0143,-0.0121,79183700.51,79.78,0.62,,,,,,,0
OULG11,Outros,72.4,2278.0,0.5,0.006999999999999999,0.0206,0.0416,0.0817,0.0069,0.0069,0.0068000000000000005,0.013500000000000002,-0.0755,-0.069,-0.063,233874420.23,94.26,0.77,,,,,0.0,,2
HMOC11,Shoppings,226.95,115.0,23.8,0.10490000000000001,0.1137,0.1253,0.1316,0.0379,0.0209,0.011000000000000001,0.1137,0.0,0.10490000000000001,0.11460000000000001,91223530.5,238.79,0.95,,,,,0.018000000000000002,,1
